voice,tense,wohnen,habe,arbeitet,lebe,heißt,komme,haben
indicative_active,Present," ich wohn(e)
 du wohnst
 er wohnt
 wir wohnen
 ihr wohnt
 sie wohnen",," ich arbeit(e)
 du arbeitest
 er arbeitet
 wir arbeiten
 ihr arbeitet
 sie arbeiten"," ich leb(e)
 du lebst
 er lebt
 wir leben
 ihr lebt
 sie leben"," ich heiß(e)
 du heißt
 er heißt
 wir heißen
 ihr heißt
 sie heißen"," ich komm(e)
 du kommst/kömmst
 er kommt/kömmt
 wir kommen
 ihr kommt
 sie kommen"," ich hab(e)
 du hast
 er hat
 wir haben
 ihr habt
 sie haben"
indicative_active,Imperfect," ich wohnte
 du wohntest
 er wohnte
 wir wohnten
 ihr wohntet
 sie wohnten",," ich arbeitete
 du arbeitetest
 er arbeitete
 wir arbeiteten
 ihr arbeitetet
 sie arbeiteten"," ich lebte
 du lebtest
 er lebte
 wir lebten
 ihr lebtet
 sie lebten"," ich hieß
 du hieß(es)t
 er hieß
 wir hießen
 ihr hieß(e)t
 sie hießen"," ich kam
 du kamst
 er kam
 wir kamen
 ihr kamt
 sie kamen"," ich hatte
 du hattest
 er hatte
 wir hatten
 ihr hattet
 sie hatten"
indicative_active,Perfect," ich habe gewohnt
 du hast gewohnt
 er hat gewohnt
 wir haben gewohnt
 ihr habt gewohnt
 sie haben gewohnt",," ich habe gearbeitet
 du hast gearbeitet
 er hat gearbeitet
 wir haben gearbeitet
 ihr habt gearbeitet
 sie haben gearbeitet"," ich habe gelebt
 du hast gelebt
 er hat gelebt
 wir haben gelebt
 ihr habt gelebt
 sie haben gelebt"," ich habe geheißen
 du hast geheißen
 er hat geheißen
 wir haben geheißen
 ihr habt geheißen
 sie haben geheißen"," ich bin gekommen
 du bist gekommen
 er ist gekommen
 wir sind gekommen
 ihr seid gekommen
 sie sind gekommen"," ich habe gehabt
 du hast gehabt
 er hat gehabt
 wir haben gehabt
 ihr habt gehabt
 sie haben gehabt"
indicative_active,Pluperfect," ich hatte gewohnt
 du hattest gewohnt
 er hatte gewohnt
 wir hatten gewohnt
 ihr hattet gewohnt
 sie hatten gewohnt",," ich hatte gearbeitet
 du hattest gearbeitet
 er hatte gearbeitet
 wir hatten gearbeitet
 ihr hattet gearbeitet
 sie hatten gearbeitet"," ich hatte gelebt
 du hattest gelebt
 er hatte gelebt
 wir hatten gelebt
 ihr hattet gelebt
 sie hatten gelebt"," ich hatte geheißen
 du hattest geheißen
 er hatte geheißen
 wir hatten geheißen
 ihr hattet geheißen
 sie hatten geheißen"," ich war gekommen
 du warst gekommen
 er war gekommen
 wir waren gekommen
 ihr wart gekommen
 sie waren gekommen"," ich hatte gehabt
 du hattest gehabt
 er hatte gehabt
 wir hatten gehabt
 ihr hattet gehabt
 sie hatten gehabt"
indicative_active,Future," ich werde wohnen
 du wirst wohnen
 er wird wohnen
 wir werden wohnen
 ihr werdet wohnen
 sie werden wohnen",," ich werde arbeiten
 du wirst arbeiten
 er wird arbeiten
 wir werden arbeiten
 ihr werdet arbeiten
 sie werden arbeiten"," ich werde leben
 du wirst leben
 er wird leben
 wir werden leben
 ihr werdet leben
 sie werden leben"," ich werde heißen
 du wirst heißen
 er wird heißen
 wir werden heißen
 ihr werdet heißen
 sie werden heißen"," ich werde kommen
 du wirst kommen
 er wird kommen
 wir werden kommen
 ihr werdet kommen
 sie werden kommen"," ich werde haben
 du wirst haben
 er wird haben
 wir werden haben
 ihr werdet haben
 sie werden haben"
indicative_active,FuturePerfect," ich werde gewohnt haben
 du wirst gewohnt haben
 er wird gewohnt haben
 wir werden gewohnt haben
 ihr werdet gewohnt haben
 sie werden gewohnt haben",," ich werde gearbeitet haben
 du wirst gearbeitet haben
 er wird gearbeitet haben
 wir werden gearbeitet haben
 ihr werdet gearbeitet haben
 sie werden gearbeitet haben"," ich werde gelebt haben
 du wirst gelebt haben
 er wird gelebt haben
 wir werden gelebt haben
 ihr werdet gelebt haben
 sie werden gelebt haben"," ich werde geheißen haben
 du wirst geheißen haben
 er wird geheißen haben
 wir werden geheißen haben
 ihr werdet geheißen haben
 sie werden geheißen haben"," ich werde gekommen sein
 du wirst gekommen sein
 er wird gekommen sein
 wir werden gekommen sein
 ihr werdet gekommen sein
 sie werden gekommen sein"," ich werde gehabt haben
 du wirst gehabt haben
 er wird gehabt haben
 wir werden gehabt haben
 ihr werdet gehabt haben
 sie werden gehabt haben"
indicative_active,InfinitiveI," wohnen
 zu wohnen",," arbeiten
 zu arbeiten"," leben
 zu leben"," heißen
 zu heißen"," kommen
 zu kommen"," haben
 zu haben"
indicative_active,InfinitiveII," gewohnt haben
 gewohnt zu haben",," gearbeitet haben
 gearbeitet zu haben"," gelebt haben
 gelebt zu haben"," geheißen haben
 geheißen zu haben"," gekommen sein
 gekommen zu sein"," gehabt haben
 gehabt zu haben"
indicative_active,ParticipleI, wohnend,, arbeitend, lebend, heißend, kommend, habend
indicative_active,ParticipleII, gewohnt,, gearbeitet, gelebt, geheißen, gekommen, gehabt
subjunctive_active,Present," ich wohn(e)
 du wohnst
 er wohnt
 wir wohnen
 ihr wohnt
 sie wohnen",," ich arbeit(e)
 du arbeitest
 er arbeitet
 wir arbeiten
 ihr arbeitet
 sie arbeiten"," ich leb(e)
 du lebst
 er lebt
 wir leben
 ihr lebt
 sie leben"," ich heiß(e)
 du heißt
 er heißt
 wir heißen
 ihr heißt
 sie heißen"," ich komm(e)
 du kommst/kömmst
 er kommt/kömmt
 wir kommen
 ihr kommt
 sie kommen"," ich hab(e)
 du hast
 er hat
 wir haben
 ihr habt
 sie haben"
subjunctive_active,Imperfect," ich wohnte
 du wohntest
 er wohnte
 wir wohnten
 ihr wohntet
 sie wohnten",," ich arbeitete
 du arbeitetest
 er arbeitete
 wir arbeiteten
 ihr arbeitetet
 sie arbeiteten"," ich lebte
 du lebtest
 er lebte
 wir lebten
 ihr lebtet
 sie lebten"," ich hieß
 du hieß(es)t
 er hieß
 wir hießen
 ihr hieß(e)t
 sie hießen"," ich kam
 du kamst
 er kam
 wir kamen
 ihr kamt
 sie kamen"," ich hatte
 du hattest
 er hatte
 wir hatten
 ihr hattet
 sie hatten"
subjunctive_active,Perfect," ich habe gewohnt
 du hast gewohnt
 er hat gewohnt
 wir haben gewohnt
 ihr habt gewohnt
 sie haben gewohnt",," ich habe gearbeitet
 du hast gearbeitet
 er hat gearbeitet
 wir haben gearbeitet
 ihr habt gearbeitet
 sie haben gearbeitet"," ich habe gelebt
 du hast gelebt
 er hat gelebt
 wir haben gelebt
 ihr habt gelebt
 sie haben gelebt"," ich habe geheißen
 du hast geheißen
 er hat geheißen
 wir haben geheißen
 ihr habt geheißen
 sie haben geheißen"," ich bin gekommen
 du bist gekommen
 er ist gekommen
 wir sind gekommen
 ihr seid gekommen
 sie sind gekommen"," ich habe gehabt
 du hast gehabt
 er hat gehabt
 wir haben gehabt
 ihr habt gehabt
 sie haben gehabt"
subjunctive_active,Pluperfect," ich hatte gewohnt
 du hattest gewohnt
 er hatte gewohnt
 wir hatten gewohnt
 ihr hattet gewohnt
 sie hatten gewohnt",," ich hatte gearbeitet
 du hattest gearbeitet
 er hatte gearbeitet
 wir hatten gearbeitet
 ihr hattet gearbeitet
 sie hatten gearbeitet"," ich hatte gelebt
 du hattest gelebt
 er hatte gelebt
 wir hatten gelebt
 ihr hattet gelebt
 sie hatten gelebt"," ich hatte geheißen
 du hattest geheißen
 er hatte geheißen
 wir hatten geheißen
 ihr hattet geheißen
 sie hatten geheißen"," ich war gekommen
 du warst gekommen
 er war gekommen
 wir waren gekommen
 ihr wart gekommen
 sie waren gekommen"," ich hatte gehabt
 du hattest gehabt
 er hatte gehabt
 wir hatten gehabt
 ihr hattet gehabt
 sie hatten gehabt"
subjunctive_active,Future," ich werde wohnen
 du wirst wohnen
 er wird wohnen
 wir werden wohnen
 ihr werdet wohnen
 sie werden wohnen",," ich werde arbeiten
 du wirst arbeiten
 er wird arbeiten
 wir werden arbeiten
 ihr werdet arbeiten
 sie werden arbeiten"," ich werde leben
 du wirst leben
 er wird leben
 wir werden leben
 ihr werdet leben
 sie werden leben"," ich werde heißen
 du wirst heißen
 er wird heißen
 wir werden heißen
 ihr werdet heißen
 sie werden heißen"," ich werde kommen
 du wirst kommen
 er wird kommen
 wir werden kommen
 ihr werdet kommen
 sie werden kommen"," ich werde haben
 du wirst haben
 er wird haben
 wir werden haben
 ihr werdet haben
 sie werden haben"
subjunctive_active,FuturePerfect," ich werde gewohnt haben
 du wirst gewohnt haben
 er wird gewohnt haben
 wir werden gewohnt haben
 ihr werdet gewohnt haben
 sie werden gewohnt haben",," ich werde gearbeitet haben
 du wirst gearbeitet haben
 er wird gearbeitet haben
 wir werden gearbeitet haben
 ihr werdet gearbeitet haben
 sie werden gearbeitet haben"," ich werde gelebt haben
 du wirst gelebt haben
 er wird gelebt haben
 wir werden gelebt haben
 ihr werdet gelebt haben
 sie werden gelebt haben"," ich werde geheißen haben
 du wirst geheißen haben
 er wird geheißen haben
 wir werden geheißen haben
 ihr werdet geheißen haben
 sie werden geheißen haben"," ich werde gekommen sein
 du wirst gekommen sein
 er wird gekommen sein
 wir werden gekommen sein
 ihr werdet gekommen sein
 sie werden gekommen sein"," ich werde gehabt haben
 du wirst gehabt haben
 er wird gehabt haben
 wir werden gehabt haben
 ihr werdet gehabt haben
 sie werden gehabt haben"
subjunctive_active,InfinitiveI," wohnen
 zu wohnen",," arbeiten
 zu arbeiten"," leben
 zu leben"," heißen
 zu heißen"," kommen
 zu kommen"," haben
 zu haben"
subjunctive_active,InfinitiveII," gewohnt haben
 gewohnt zu haben",," gearbeitet haben
 gearbeitet zu haben"," gelebt haben
 gelebt zu haben"," geheißen haben
 geheißen zu haben"," gekommen sein
 gekommen zu sein"," gehabt haben
 gehabt zu haben"
subjunctive_active,ParticipleI, wohnend,, arbeitend, lebend, heißend, kommend, habend
subjunctive_active,ParticipleII, gewohnt,, gearbeitet, gelebt, geheißen, gekommen, gehabt
conditional_active,Present," ich wohn(e)
 du wohnst
 er wohnt
 wir wohnen
 ihr wohnt
 sie wohnen",," ich arbeit(e)
 du arbeitest
 er arbeitet
 wir arbeiten
 ihr arbeitet
 sie arbeiten"," ich leb(e)
 du lebst
 er lebt
 wir leben
 ihr lebt
 sie leben"," ich heiß(e)
 du heißt
 er heißt
 wir heißen
 ihr heißt
 sie heißen"," ich komm(e)
 du kommst/kömmst
 er kommt/kömmt
 wir kommen
 ihr kommt
 sie kommen"," ich hab(e)
 du hast
 er hat
 wir haben
 ihr habt
 sie haben"
conditional_active,Imperfect," ich wohnte
 du wohntest
 er wohnte
 wir wohnten
 ihr wohntet
 sie wohnten",," ich arbeitete
 du arbeitetest
 er arbeitete
 wir arbeiteten
 ihr arbeitetet
 sie arbeiteten"," ich lebte
 du lebtest
 er lebte
 wir lebten
 ihr lebtet
 sie lebten"," ich hieß
 du hieß(es)t
 er hieß
 wir hießen
 ihr hieß(e)t
 sie hießen"," ich kam
 du kamst
 er kam
 wir kamen
 ihr kamt
 sie kamen"," ich hatte
 du hattest
 er hatte
 wir hatten
 ihr hattet
 sie hatten"
conditional_active,Perfect," ich habe gewohnt
 du hast gewohnt
 er hat gewohnt
 wir haben gewohnt
 ihr habt gewohnt
 sie haben gewohnt",," ich habe gearbeitet
 du hast gearbeitet
 er hat gearbeitet
 wir haben gearbeitet
 ihr habt gearbeitet
 sie haben gearbeitet"," ich habe gelebt
 du hast gelebt
 er hat gelebt
 wir haben gelebt
 ihr habt gelebt
 sie haben gelebt"," ich habe geheißen
 du hast geheißen
 er hat geheißen
 wir haben geheißen
 ihr habt geheißen
 sie haben geheißen"," ich bin gekommen
 du bist gekommen
 er ist gekommen
 wir sind gekommen
 ihr seid gekommen
 sie sind gekommen"," ich habe gehabt
 du hast gehabt
 er hat gehabt
 wir haben gehabt
 ihr habt gehabt
 sie haben gehabt"
conditional_active,Pluperfect," ich hatte gewohnt
 du hattest gewohnt
 er hatte gewohnt
 wir hatten gewohnt
 ihr hattet gewohnt
 sie hatten gewohnt",," ich hatte gearbeitet
 du hattest gearbeitet
 er hatte gearbeitet
 wir hatten gearbeitet
 ihr hattet gearbeitet
 sie hatten gearbeitet"," ich hatte gelebt
 du hattest gelebt
 er hatte gelebt
 wir hatten gelebt
 ihr hattet gelebt
 sie hatten gelebt"," ich hatte geheißen
 du hattest geheißen
 er hatte geheißen
 wir hatten geheißen
 ihr hattet geheißen
 sie hatten geheißen"," ich war gekommen
 du warst gekommen
 er war gekommen
 wir waren gekommen
 ihr wart gekommen
 sie waren gekommen"," ich hatte gehabt
 du hattest gehabt
 er hatte gehabt
 wir hatten gehabt
 ihr hattet gehabt
 sie hatten gehabt"
conditional_active,Future," ich werde wohnen
 du wirst wohnen
 er wird wohnen
 wir werden wohnen
 ihr werdet wohnen
 sie werden wohnen",," ich werde arbeiten
 du wirst arbeiten
 er wird arbeiten
 wir werden arbeiten
 ihr werdet arbeiten
 sie werden arbeiten"," ich werde leben
 du wirst leben
 er wird leben
 wir werden leben
 ihr werdet leben
 sie werden leben"," ich werde heißen
 du wirst heißen
 er wird heißen
 wir werden heißen
 ihr werdet heißen
 sie werden heißen"," ich werde kommen
 du wirst kommen
 er wird kommen
 wir werden kommen
 ihr werdet kommen
 sie werden kommen"," ich werde haben
 du wirst haben
 er wird haben
 wir werden haben
 ihr werdet haben
 sie werden haben"
conditional_active,FuturePerfect," ich werde gewohnt haben
 du wirst gewohnt haben
 er wird gewohnt haben
 wir werden gewohnt haben
 ihr werdet gewohnt haben
 sie werden gewohnt haben",," ich werde gearbeitet haben
 du wirst gearbeitet haben
 er wird gearbeitet haben
 wir werden gearbeitet haben
 ihr werdet gearbeitet haben
 sie werden gearbeitet haben"," ich werde gelebt haben
 du wirst gelebt haben
 er wird gelebt haben
 wir werden gelebt haben
 ihr werdet gelebt haben
 sie werden gelebt haben"," ich werde geheißen haben
 du wirst geheißen haben
 er wird geheißen haben
 wir werden geheißen haben
 ihr werdet geheißen haben
 sie werden geheißen haben"," ich werde gekommen sein
 du wirst gekommen sein
 er wird gekommen sein
 wir werden gekommen sein
 ihr werdet gekommen sein
 sie werden gekommen sein"," ich werde gehabt haben
 du wirst gehabt haben
 er wird gehabt haben
 wir werden gehabt haben
 ihr werdet gehabt haben
 sie werden gehabt haben"
conditional_active,InfinitiveI," wohnen
 zu wohnen",," arbeiten
 zu arbeiten"," leben
 zu leben"," heißen
 zu heißen"," kommen
 zu kommen"," haben
 zu haben"
conditional_active,InfinitiveII," gewohnt haben
 gewohnt zu haben",," gearbeitet haben
 gearbeitet zu haben"," gelebt haben
 gelebt zu haben"," geheißen haben
 geheißen zu haben"," gekommen sein
 gekommen zu sein"," gehabt haben
 gehabt zu haben"
conditional_active,ParticipleI, wohnend,, arbeitend, lebend, heißend, kommend, habend
conditional_active,ParticipleII, gewohnt,, gearbeitet, gelebt, geheißen, gekommen, gehabt
imperative_active,Present," ich wohn(e)
 du wohnst
 er wohnt
 wir wohnen
 ihr wohnt
 sie wohnen",," ich arbeit(e)
 du arbeitest
 er arbeitet
 wir arbeiten
 ihr arbeitet
 sie arbeiten"," ich leb(e)
 du lebst
 er lebt
 wir leben
 ihr lebt
 sie leben"," ich heiß(e)
 du heißt
 er heißt
 wir heißen
 ihr heißt
 sie heißen"," ich komm(e)
 du kommst/kömmst
 er kommt/kömmt
 wir kommen
 ihr kommt
 sie kommen"," ich hab(e)
 du hast
 er hat
 wir haben
 ihr habt
 sie haben"
imperative_active,Imperfect," ich wohnte
 du wohntest
 er wohnte
 wir wohnten
 ihr wohntet
 sie wohnten",," ich arbeitete
 du arbeitetest
 er arbeitete
 wir arbeiteten
 ihr arbeitetet
 sie arbeiteten"," ich lebte
 du lebtest
 er lebte
 wir lebten
 ihr lebtet
 sie lebten"," ich hieß
 du hieß(es)t
 er hieß
 wir hießen
 ihr hieß(e)t
 sie hießen"," ich kam
 du kamst
 er kam
 wir kamen
 ihr kamt
 sie kamen"," ich hatte
 du hattest
 er hatte
 wir hatten
 ihr hattet
 sie hatten"
imperative_active,Perfect," ich habe gewohnt
 du hast gewohnt
 er hat gewohnt
 wir haben gewohnt
 ihr habt gewohnt
 sie haben gewohnt",," ich habe gearbeitet
 du hast gearbeitet
 er hat gearbeitet
 wir haben gearbeitet
 ihr habt gearbeitet
 sie haben gearbeitet"," ich habe gelebt
 du hast gelebt
 er hat gelebt
 wir haben gelebt
 ihr habt gelebt
 sie haben gelebt"," ich habe geheißen
 du hast geheißen
 er hat geheißen
 wir haben geheißen
 ihr habt geheißen
 sie haben geheißen"," ich bin gekommen
 du bist gekommen
 er ist gekommen
 wir sind gekommen
 ihr seid gekommen
 sie sind gekommen"," ich habe gehabt
 du hast gehabt
 er hat gehabt
 wir haben gehabt
 ihr habt gehabt
 sie haben gehabt"
imperative_active,Pluperfect," ich hatte gewohnt
 du hattest gewohnt
 er hatte gewohnt
 wir hatten gewohnt
 ihr hattet gewohnt
 sie hatten gewohnt",," ich hatte gearbeitet
 du hattest gearbeitet
 er hatte gearbeitet
 wir hatten gearbeitet
 ihr hattet gearbeitet
 sie hatten gearbeitet"," ich hatte gelebt
 du hattest gelebt
 er hatte gelebt
 wir hatten gelebt
 ihr hattet gelebt
 sie hatten gelebt"," ich hatte geheißen
 du hattest geheißen
 er hatte geheißen
 wir hatten geheißen
 ihr hattet geheißen
 sie hatten geheißen"," ich war gekommen
 du warst gekommen
 er war gekommen
 wir waren gekommen
 ihr wart gekommen
 sie waren gekommen"," ich hatte gehabt
 du hattest gehabt
 er hatte gehabt
 wir hatten gehabt
 ihr hattet gehabt
 sie hatten gehabt"
imperative_active,Future," ich werde wohnen
 du wirst wohnen
 er wird wohnen
 wir werden wohnen
 ihr werdet wohnen
 sie werden wohnen",," ich werde arbeiten
 du wirst arbeiten
 er wird arbeiten
 wir werden arbeiten
 ihr werdet arbeiten
 sie werden arbeiten"," ich werde leben
 du wirst leben
 er wird leben
 wir werden leben
 ihr werdet leben
 sie werden leben"," ich werde heißen
 du wirst heißen
 er wird heißen
 wir werden heißen
 ihr werdet heißen
 sie werden heißen"," ich werde kommen
 du wirst kommen
 er wird kommen
 wir werden kommen
 ihr werdet kommen
 sie werden kommen"," ich werde haben
 du wirst haben
 er wird haben
 wir werden haben
 ihr werdet haben
 sie werden haben"
imperative_active,FuturePerfect," ich werde gewohnt haben
 du wirst gewohnt haben
 er wird gewohnt haben
 wir werden gewohnt haben
 ihr werdet gewohnt haben
 sie werden gewohnt haben",," ich werde gearbeitet haben
 du wirst gearbeitet haben
 er wird gearbeitet haben
 wir werden gearbeitet haben
 ihr werdet gearbeitet haben
 sie werden gearbeitet haben"," ich werde gelebt haben
 du wirst gelebt haben
 er wird gelebt haben
 wir werden gelebt haben
 ihr werdet gelebt haben
 sie werden gelebt haben"," ich werde geheißen haben
 du wirst geheißen haben
 er wird geheißen haben
 wir werden geheißen haben
 ihr werdet geheißen haben
 sie werden geheißen haben"," ich werde gekommen sein
 du wirst gekommen sein
 er wird gekommen sein
 wir werden gekommen sein
 ihr werdet gekommen sein
 sie werden gekommen sein"," ich werde gehabt haben
 du wirst gehabt haben
 er wird gehabt haben
 wir werden gehabt haben
 ihr werdet gehabt haben
 sie werden gehabt haben"
imperative_active,InfinitiveI," wohnen
 zu wohnen",," arbeiten
 zu arbeiten"," leben
 zu leben"," heißen
 zu heißen"," kommen
 zu kommen"," haben
 zu haben"
imperative_active,InfinitiveII," gewohnt haben
 gewohnt zu haben",," gearbeitet haben
 gearbeitet zu haben"," gelebt haben
 gelebt zu haben"," geheißen haben
 geheißen zu haben"," gekommen sein
 gekommen zu sein"," gehabt haben
 gehabt zu haben"
imperative_active,ParticipleI, wohnend,, arbeitend, lebend, heißend, kommend, habend
imperative_active,ParticipleII, gewohnt,, gearbeitet, gelebt, geheißen, gekommen, gehabt
infinitive_participle_active,Present," ich wohn(e)
 du wohnst
 er wohnt
 wir wohnen
 ihr wohnt
 sie wohnen",," ich arbeit(e)
 du arbeitest
 er arbeitet
 wir arbeiten
 ihr arbeitet
 sie arbeiten"," ich leb(e)
 du lebst
 er lebt
 wir leben
 ihr lebt
 sie leben"," ich heiß(e)
 du heißt
 er heißt
 wir heißen
 ihr heißt
 sie heißen"," ich komm(e)
 du kommst/kömmst
 er kommt/kömmt
 wir kommen
 ihr kommt
 sie kommen"," ich hab(e)
 du hast
 er hat
 wir haben
 ihr habt
 sie haben"
infinitive_participle_active,Imperfect," ich wohnte
 du wohntest
 er wohnte
 wir wohnten
 ihr wohntet
 sie wohnten",," ich arbeitete
 du arbeitetest
 er arbeitete
 wir arbeiteten
 ihr arbeitetet
 sie arbeiteten"," ich lebte
 du lebtest
 er lebte
 wir lebten
 ihr lebtet
 sie lebten"," ich hieß
 du hieß(es)t
 er hieß
 wir hießen
 ihr hieß(e)t
 sie hießen"," ich kam
 du kamst
 er kam
 wir kamen
 ihr kamt
 sie kamen"," ich hatte
 du hattest
 er hatte
 wir hatten
 ihr hattet
 sie hatten"
infinitive_participle_active,Perfect," ich habe gewohnt
 du hast gewohnt
 er hat gewohnt
 wir haben gewohnt
 ihr habt gewohnt
 sie haben gewohnt",," ich habe gearbeitet
 du hast gearbeitet
 er hat gearbeitet
 wir haben gearbeitet
 ihr habt gearbeitet
 sie haben gearbeitet"," ich habe gelebt
 du hast gelebt
 er hat gelebt
 wir haben gelebt
 ihr habt gelebt
 sie haben gelebt"," ich habe geheißen
 du hast geheißen
 er hat geheißen
 wir haben geheißen
 ihr habt geheißen
 sie haben geheißen"," ich bin gekommen
 du bist gekommen
 er ist gekommen
 wir sind gekommen
 ihr seid gekommen
 sie sind gekommen"," ich habe gehabt
 du hast gehabt
 er hat gehabt
 wir haben gehabt
 ihr habt gehabt
 sie haben gehabt"
infinitive_participle_active,Pluperfect," ich hatte gewohnt
 du hattest gewohnt
 er hatte gewohnt
 wir hatten gewohnt
 ihr hattet gewohnt
 sie hatten gewohnt",," ich hatte gearbeitet
 du hattest gearbeitet
 er hatte gearbeitet
 wir hatten gearbeitet
 ihr hattet gearbeitet
 sie hatten gearbeitet"," ich hatte gelebt
 du hattest gelebt
 er hatte gelebt
 wir hatten gelebt
 ihr hattet gelebt
 sie hatten gelebt"," ich hatte geheißen
 du hattest geheißen
 er hatte geheißen
 wir hatten geheißen
 ihr hattet geheißen
 sie hatten geheißen"," ich war gekommen
 du warst gekommen
 er war gekommen
 wir waren gekommen
 ihr wart gekommen
 sie waren gekommen"," ich hatte gehabt
 du hattest gehabt
 er hatte gehabt
 wir hatten gehabt
 ihr hattet gehabt
 sie hatten gehabt"
infinitive_participle_active,Future," ich werde wohnen
 du wirst wohnen
 er wird wohnen
 wir werden wohnen
 ihr werdet wohnen
 sie werden wohnen",," ich werde arbeiten
 du wirst arbeiten
 er wird arbeiten
 wir werden arbeiten
 ihr werdet arbeiten
 sie werden arbeiten"," ich werde leben
 du wirst leben
 er wird leben
 wir werden leben
 ihr werdet leben
 sie werden leben"," ich werde heißen
 du wirst heißen
 er wird heißen
 wir werden heißen
 ihr werdet heißen
 sie werden heißen"," ich werde kommen
 du wirst kommen
 er wird kommen
 wir werden kommen
 ihr werdet kommen
 sie werden kommen"," ich werde haben
 du wirst haben
 er wird haben
 wir werden haben
 ihr werdet haben
 sie werden haben"
infinitive_participle_active,FuturePerfect," ich werde gewohnt haben
 du wirst gewohnt haben
 er wird gewohnt haben
 wir werden gewohnt haben
 ihr werdet gewohnt haben
 sie werden gewohnt haben",," ich werde gearbeitet haben
 du wirst gearbeitet haben
 er wird gearbeitet haben
 wir werden gearbeitet haben
 ihr werdet gearbeitet haben
 sie werden gearbeitet haben"," ich werde gelebt haben
 du wirst gelebt haben
 er wird gelebt haben
 wir werden gelebt haben
 ihr werdet gelebt haben
 sie werden gelebt haben"," ich werde geheißen haben
 du wirst geheißen haben
 er wird geheißen haben
 wir werden geheißen haben
 ihr werdet geheißen haben
 sie werden geheißen haben"," ich werde gekommen sein
 du wirst gekommen sein
 er wird gekommen sein
 wir werden gekommen sein
 ihr werdet gekommen sein
 sie werden gekommen sein"," ich werde gehabt haben
 du wirst gehabt haben
 er wird gehabt haben
 wir werden gehabt haben
 ihr werdet gehabt haben
 sie werden gehabt haben"
infinitive_participle_active,InfinitiveI," wohnen
 zu wohnen",," arbeiten
 zu arbeiten"," leben
 zu leben"," heißen
 zu heißen"," kommen
 zu kommen"," haben
 zu haben"
infinitive_participle_active,InfinitiveII," gewohnt haben
 gewohnt zu haben",," gearbeitet haben
 gearbeitet zu haben"," gelebt haben
 gelebt zu haben"," geheißen haben
 geheißen zu haben"," gekommen sein
 gekommen zu sein"," gehabt haben
 gehabt zu haben"
infinitive_participle_active,ParticipleI, wohnend,, arbeitend, lebend, heißend, kommend, habend
infinitive_participle_active,ParticipleII, gewohnt,, gearbeitet, gelebt, geheißen, gekommen, gehabt
